rna	profile	energy
1A4D.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	1.114966127
1A4D.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.272548065
1A4D.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.854477171
1DQF.pdb	hist_tig_C3prime_bin0.5	-0.117103213
1DQF.pdb	hist_pmf_C3prime_bin0.5	-0.055428536
1DQF.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.014181398
1DQF.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.09203588
1DQF.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.078336282
1DQF.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.03997177
1AC3.pdb	hist_tig_C3prime_bin0.5	-0.022738823
1AC3.pdb	hist_pmf_C3prime_bin0.5	0.00286721
1AC3.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.152750242
1AC3.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.209492909
1AC3.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.218690462
1AC3.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.318456991
1B36.pdb	hist_tig_C3prime_bin0.5	-2.90922462
1B36.pdb	hist_pmf_C3prime_bin0.5	-1.621812663
1B36.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-3.656742395
1B36.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.22186372
1B36.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-1.199336259
1B36.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	1.937069072
1EVV.pdb	hist_tig_C3prime_bin0.5	-2.352268065
1EVV.pdb	hist_pmf_C3prime_bin0.5	0.452419701
1EVV.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-25.77250803
1EVV.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-15.06623055
1EVV.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-20.02067067
1EVV.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-11.08584487
1F27.pdb	hist_tig_C3prime_bin0.5	-1.40301821
1F27.pdb	hist_pmf_C3prime_bin0.5	-0.904205059
1F27.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-2.385415507
1F27.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.782590069
1F27.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-1.42156717
1F27.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.161328651
1H0Q.pdb	hist_tig_C3prime_bin0.5	0.047916033
1H0Q.pdb	hist_pmf_C3prime_bin0.5	0.064418839
1H0Q.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.10818946
1H0Q.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.080460948
1H0Q.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.068789123
1H0Q.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.032748076
1FIR.pdb	hist_tig_C3prime_bin0.5	-6.701447603
1FIR.pdb	hist_pmf_C3prime_bin0.5	-4.092994587
1FIR.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-13.37431691
1FIR.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-5.691169922
1FIR.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-10.765956
1FIR.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-3.496256808
1A51.pdb	hist_tig_C3prime_bin0.5	-2.67547081
1A51.pdb	hist_pmf_C3prime_bin0.5	-1.073853983
1A51.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-9.425199623
1A51.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-4.203028793
1A51.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-5.845427607
1A51.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-1.453226515
1FEQ.pdb	hist_tig_C3prime_bin0.5	-1.652203145
1FEQ.pdb	hist_pmf_C3prime_bin0.5	-1.148782551
1FEQ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.828000599
1FEQ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.09282179
1FEQ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.12346461
1FEQ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.708315924
1E4P.pdb	hist_tig_C3prime_bin0.5	0.310413278
1E4P.pdb	hist_pmf_C3prime_bin0.5	0.843501565
1E4P.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-1.789123311
1E4P.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.222353847
1E4P.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.584683685
1E4P.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.912319861
17RA.pdb	hist_tig_C3prime_bin0.5	-0.666375032
17RA.pdb	hist_pmf_C3prime_bin0.5	-0.24222861
17RA.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-1.869517191
17RA.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.142657156
17RA.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-1.178324626
17RA.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.810063426
1HHX.pdb	hist_tig_C3prime_bin0.5	0.096842244
1HHX.pdb	hist_pmf_C3prime_bin0.5	0.119239945
1HHX.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.4549721
1HHX.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.528981003
1HHX.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.272341884
1HHX.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.325424135
1HS1.pdb	hist_tig_C3prime_bin0.5	-0.745497367
1HS1.pdb	hist_pmf_C3prime_bin0.5	-0.429360938
1HS1.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-3.216711523
1HS1.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-2.530307315
1HS1.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-3.202238645
1HS1.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-2.563255913
1E95.pdb	hist_tig_C3prime_bin0.5	-2.262870702
1E95.pdb	hist_pmf_C3prime_bin0.5	-0.665902755
1E95.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-9.205817227
1E95.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-4.87595767
1E95.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-7.520407582
1E95.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-3.592158594
1ELH.pdb	hist_tig_C3prime_bin0.5	-0.401283214
1ELH.pdb	hist_pmf_C3prime_bin0.5	-0.312986048
1ELH.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.569571911
1ELH.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.113526194
1ELH.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.09176454
1ELH.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.564581824
1G4Q.pdb	hist_tig_C3prime_bin0.5	-0.708743556
1G4Q.pdb	hist_pmf_C3prime_bin0.5	-0.663703365
1G4Q.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.688988345
1G4Q.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.597478518
1G4Q.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.615331834
1G4Q.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.512216755
1ANR.pdb	hist_tig_C3prime_bin0.5	-3.255589242
1ANR.pdb	hist_pmf_C3prime_bin0.5	-2.171490222
1ANR.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-4.086343896
1ANR.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-1.467349852
1ANR.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-2.046038511
1ANR.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.39444715
1F85.pdb	hist_tig_C3prime_bin0.5	-1.176343507
1F85.pdb	hist_pmf_C3prime_bin0.5	-0.843680948
1F85.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-3.33471447
1F85.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-1.729132701
1F85.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-2.510363341
1F85.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-1.055839578
1BZ3.pdb	hist_tig_C3prime_bin0.5	-1.746336453
1BZ3.pdb	hist_pmf_C3prime_bin0.5	-1.302682832
1BZ3.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-1.548367051
1BZ3.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.676702638
1BZ3.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.596582333
1BZ3.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.143284308
1BZ2.pdb	hist_tig_C3prime_bin0.5	-2.58068223
1BZ2.pdb	hist_pmf_C3prime_bin0.5	-2.112597138
1BZ2.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-3.874486245
1BZ2.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-2.341351719
1BZ2.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-3.248142628
1BZ2.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-2.14996173
1AKX.pdb	hist_tig_C3prime_bin0.5	-3.180415758
1AKX.pdb	hist_pmf_C3prime_bin0.5	-1.741268669
1AKX.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-8.388463729
1AKX.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-5.194505661
1AKX.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-7.109457182
1AKX.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-4.373370204
1F84.pdb	hist_tig_C3prime_bin0.5	-1.351639844
1F84.pdb	hist_pmf_C3prime_bin0.5	-0.282196569
1F84.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-11.36581273
1F84.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-7.174006486
1F84.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-7.019612152
1F84.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-3.499132545
1CQ5.pdb	hist_tig_C3prime_bin0.5	-3.447027976
1CQ5.pdb	hist_pmf_C3prime_bin0.5	-1.728118736
1CQ5.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-9.943837909
1CQ5.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-3.323726845
1CQ5.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-8.188338196
1CQ5.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-2.393493953
1F79.pdb	hist_tig_C3prime_bin0.5	-3.045679051
1F79.pdb	hist_pmf_C3prime_bin0.5	-2.01069386
1F79.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-2.733226345
1F79.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.826614049
1F79.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-1.9762513
1F79.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.070200747
1FCW.pdb	hist_tig_C3prime_bin0.5	-13.35671311
1FCW.pdb	hist_pmf_C3prime_bin0.5	0.452083489
1FCW.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-82.59606422
1FCW.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-40.60205315
1FCW.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-64.10880312
1FCW.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-27.35527464
1F5G.pdb	hist_tig_C3prime_bin0.5	0.287275682
1F5G.pdb	hist_pmf_C3prime_bin0.5	0.328906038
1F5G.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.725341216
1F5G.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.856021504
1F5G.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	1.21774461
1F5G.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	1.368363017
1C0O.pdb	hist_tig_C3prime_bin0.5	-2.154218161
1C0O.pdb	hist_pmf_C3prime_bin0.5	-1.668753511
1C0O.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-2.491575661
1C0O.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-1.155848846
1C0O.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-2.919993843
1C0O.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-1.479093594
176D.pdb	hist_tig_C3prime_bin0.5	0.26623862
176D.pdb	hist_pmf_C3prime_bin0.5	0.281823732
176D.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.311926131
176D.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.331168659
176D.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.35528808
176D.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.382641292
1BYJ.pdb	hist_tig_C3prime_bin0.5	-3.637368316
1BYJ.pdb	hist_pmf_C3prime_bin0.5	-2.790647005
1BYJ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-7.623082605
1BYJ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-4.458652357
1BYJ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-6.325586439
1BYJ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-3.370183376
1ESY.pdb	hist_tig_C3prime_bin0.5	0.735431274
1ESY.pdb	hist_pmf_C3prime_bin0.5	1.088735495
1ESY.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-2.716514643
1ESY.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-1.260784485
1ESY.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-2.368006835
1ESY.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-1.024377647
1EGK.pdb	hist_tig_C3prime_bin0.5	0.768263804
1EGK.pdb	hist_pmf_C3prime_bin0.5	0.897221565
1EGK.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	1.738841916
1EGK.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	2.111258914
1EGK.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	2.038367385
1EGK.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	2.429947378
1EFO.pdb	hist_tig_C3prime_bin0.5	-0.064534048
1EFO.pdb	hist_pmf_C3prime_bin0.5	-0.046719216
1EFO.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.654828694
1EFO.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.754083895
1EFO.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.440637024
1EFO.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.558258389
1C2Q.pdb	hist_tig_C3prime_bin0.5	0.166343732
1C2Q.pdb	hist_pmf_C3prime_bin0.5	0.188489677
1C2Q.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.477457407
1C2Q.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.525297299
1C2Q.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.402688113
1C2Q.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.450373102
1FYO.pdb	hist_tig_C3prime_bin0.5	-3.0305019
1FYO.pdb	hist_pmf_C3prime_bin0.5	-1.857360228
1FYO.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-9.361985145
1FYO.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-3.505466909
1FYO.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-8.236868976
1FYO.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-2.583222723
1F78.pdb	hist_tig_C3prime_bin0.5	-2.243656982
1F78.pdb	hist_pmf_C3prime_bin0.5	-1.264087243
1F78.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-5.638808109
1F78.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-2.132434087
1F78.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-4.861444803
1F78.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-1.31791526
1FL8.pdb	hist_tig_C3prime_bin0.5	-0.578768272
1FL8.pdb	hist_pmf_C3prime_bin0.5	-0.326191084
1FL8.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.007796359
1FL8.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.488740661
1FL8.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.362027237
1FL8.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.219442031
1FMN.pdb	hist_tig_C3prime_bin0.5	-1.376933463
1FMN.pdb	hist_pmf_C3prime_bin0.5	-0.195046954
1FMN.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-12.34042845
1FMN.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-7.386172398
1FMN.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-8.985006005
1FMN.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-4.608942716
1CSL.pdb	hist_tig_C3prime_bin0.5	-0.498287744
1CSL.pdb	hist_pmf_C3prime_bin0.5	-0.343966002
1CSL.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-2.256704116
1CSL.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-1.238479349
1CSL.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-1.84291775
1CSL.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.885874795
1AJL.pdb	hist_tig_C3prime_bin0.5	0.154360715
1AJL.pdb	hist_pmf_C3prime_bin0.5	0.24292581
1AJL.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-1.178862245
1AJL.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.497368831
1AJL.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-1.002460859
1AJL.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.488530809
1FOQ.pdb	hist_tig_C3prime_bin0.5	-55.63471289
1FOQ.pdb	hist_pmf_C3prime_bin0.5	-30.48619805
1FOQ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-110.7425397
1FOQ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-39.50228725
1FOQ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-94.22068388
1FOQ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-28.67721784
1AFX.pdb	hist_tig_C3prime_bin0.5	-2.040658245
1AFX.pdb	hist_pmf_C3prime_bin0.5	-1.648183448
1AFX.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	1.13488584
1AFX.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	1.718223545
1AFX.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.998325445
1AFX.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	1.595269718
1F5U.pdb	hist_tig_C3prime_bin0.5	-5.58800523
1F5U.pdb	hist_pmf_C3prime_bin0.5	-4.043922409
1F5U.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-7.262065631
1F5U.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.473343834
1F5U.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-8.108138407
1F5U.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.47238795
1ARJ.pdb	hist_tig_C3prime_bin0.5	-4.101457115
1ARJ.pdb	hist_pmf_C3prime_bin0.5	-2.725117501
1ARJ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-10.63529687
1ARJ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-6.33797376
1ARJ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-6.66092276
1ARJ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-3.344239187
1EI2.pdb	hist_tig_C3prime_bin0.5	-1.267096977
1EI2.pdb	hist_pmf_C3prime_bin0.5	-0.41384784
1EI2.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-3.104776051
1EI2.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-1.159595395
1EI2.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-2.374601354
1EI2.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.415041351
1BN0.pdb	hist_tig_C3prime_bin0.5	0.458762075
1BN0.pdb	hist_pmf_C3prime_bin0.5	0.973061793
1BN0.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-1.042231697
1BN0.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.180123093
1BN0.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.070956854
1BN0.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	1.161640776
1BYX.pdb	hist_tig_C3prime_bin0.5	-0.338289462
1BYX.pdb	hist_pmf_C3prime_bin0.5	-0.300924769
1BYX.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.08146485
1BYX.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.064143328
1BYX.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.155372687
1BYX.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-0.140279656
1BZT.pdb	hist_tig_C3prime_bin0.5	-2.19795009
1BZT.pdb	hist_pmf_C3prime_bin0.5	-1.894681054
1BZT.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-3.035576988
1BZT.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-2.05691246
1BZT.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-2.445498968
1BZT.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-1.641434257
1BZU.pdb	hist_tig_C3prime_bin0.5	-0.960145184
1BZU.pdb	hist_pmf_C3prime_bin0.5	-0.581147296
1BZU.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-0.289451614
1BZU.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.267153431
1BZU.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-0.451819625
1BZU.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.138085626
1GRZ.pdb	hist_tig_C3prime_bin0.5	-47.70887582
1GRZ.pdb	hist_pmf_C3prime_bin0.5	-11.41706519
1GRZ.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-271.4597163
1GRZ.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-139.5246429
1GRZ.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-194.4220627
1GRZ.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-75.7458289
1D4R.pdb	hist_tig_C3prime_bin0.5	1.086247436
1D4R.pdb	hist_pmf_C3prime_bin0.5	1.465623868
1D4R.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.836085966
1D4R.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	2.134956503
1D4R.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	2.234299082
1D4R.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	3.605698404
1F6X.pdb	hist_tig_C3prime_bin0.5	-2.688408665
1F6X.pdb	hist_pmf_C3prime_bin0.5	-1.54479358
1F6X.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.033679002
1F6X.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	2.035011541
1F6X.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	1.063205475
1F6X.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	2.922165531
1F7I.pdb	hist_tig_C3prime_bin0.5	-4.035137636
1F7I.pdb	hist_pmf_C3prime_bin0.5	-3.023842664
1F7I.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-1.908589094
1F7I.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	0.236290698
1F7I.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-1.468433135
1F7I.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.499693499
1F6Z.pdb	hist_tig_C3prime_bin0.5	-3.002226419
1F6Z.pdb	hist_pmf_C3prime_bin0.5	-1.963047471
1F6Z.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-4.665193907
1F6Z.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-0.954735944
1F6Z.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-3.05860773
1F6Z.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	0.139047167
157D.pdb	hist_tig_C3prime_bin0.5	-0.079388142
157D.pdb	hist_pmf_C3prime_bin0.5	-0.018452798
157D.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	0.93247831
157D.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	1.144186338
157D.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	0.768122482
157D.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	1.017951105
1EHT.pdb	hist_tig_C3prime_bin0.5	-1.158915706
1EHT.pdb	hist_pmf_C3prime_bin0.5	0.248577064
1EHT.pdb	kde_tig_C3prime_kernelgaussian_bw0.1	-10.93792274
1EHT.pdb	kde_pmf_C3prime_kernelgaussian_bw0.1	-5.352842459
1EHT.pdb	kde_tig_C3prime_kernelgaussian_bwSJ	-9.059546203
1EHT.pdb	kde_pmf_C3prime_kernelgaussian_bwSJ	-3.819005849
1ESH.pdb	hist_tig_C3prime_bin0.5	-0.273078191
1ESH.pdb	hist_pmf_C3prime_bin0.5	0.070167734
